"Measure","Aliases"
"SSIS Loaded Actuals","[]"
"ETS KIL","[]"
"D MFG Release Window TG","[]"
"On Invoice Actual","[]"
"Final Item Location Supplier Association","[]"
"D Demand Quantity To SCS",""
"Sim SP Demand Override Prorated","[]"
"M Resource Category","['Resource Category']"
"PROC Soft Lot Size","['Default']"
"Croston KIL","[]"
"Custom Intermittent KIL","[]"
"BuyBack Target","[]"
"Like Item Search History Measure","[]"
"Flow 1 Int Region TPE Forecast Override","['Forecast at Region TPE Override']"
"Actual shipment Qty","[]"
"D Activity End Date","['Activity End Date']"
"Supplier Lead Time Not Defined Association","[]"
"M Expected Receipts PF","[]"
"Flow 1 Final Item Forecast $ Value","['Final Forecast at Item Region level $ Value']"
"Supplier Input Resource Group Priority Intermediate","[]"
"M Min LotSize","['Min LotSize']"
"PROC Min Lot Size External Input","['External Input']"
"M Material Production Quantity Plan Output PF","[]"
"M Material Production Quantity Plan Output ET","[]"
"PROC Frozen Window By Item Location Supplier Location Intermediate2","[]"
"PROC Frozen Window By Item Location Supplier Location Intermediate1","['Frozen Window']"
"M OnHand Quantity ET","[]"
"Onhand Available AFTR","[]"
"Supplier Capacity Constraint","[]"
"D SS Violation Quantity","['SS Violation Quantity', 'SS Violation Quantity']"
"Procurement Item Priority Not Defined Association","[]"
"PROC Network WIP Sweep Priority Intermediate","[]"
"Final Routing Lead Time Standard Deviation Override","[]"
"D Activity Start Date","['Activity Start Date']"
"BODLane Resource Consumed Per","[]"
"D DIST Frozen Window at Item Location BODLane","[]"
"M Simultaneous Capacity Consumption Association","['Simultaneous Capacity Consumption Association']"
"D DIST Release Window Indicator","[]"
"PROC Frozen Window By Item Location Supplier Location","['Default']"
"M Re-Order Point Quantity ET","[]"
"DIST UnLoading Shared Resource Association","['UnLoading Resource Association']"
"M Target Inventory ET","[]"
"Shipments National","[]"
"Prioritization Log","[]"
"Final Routing Start Date Override","[]"
"PROC Soft Lot Size Override","['Override']"
"SO Qty Replen FR","[]"
"Null Association","[]"
"Shared Resource Consumption Association","[]"
"Intermediate YTD Loaded Actuals","[]"
"D Planning Horizon Intermediate","[]"
"Activity Start Date","[]"
"PROC Soft Lot Size External Input","['External Input']"
"PROC Shared Resource Priority Final","[]"
"D Input Resource Group Priority","['Input Resource Group Priority']"
"D Netting Planning Horizon Association Delta","[]"
"D Netting Planning Horizon Delta Intermediate","[]"
"Existing PO Cables and MM","['Existing PO']"
"Final Resource Routing Association","[]"
"Day Key diff","[]"
"Final Routing End Date Override","[]"
"D Netting Planning Horizon Intermediate","[]"
"Final Resource Group Routing Association","[]"
"Final Resource Consumed Per","[]"
"PROC Hanging Material Node count","[]"
"Final Procurement Type","[]"
"Priority Format","[]"
"Assortment For First Of The Month","[]"
"D Planning Horizon Association Delta","[]"
"Existing PO AFTR PF","[]"
"W WIP Sweep Priority","[]"
"W Planning Horizon Association Delta","[]"
"DIST Region TransMode Priority","['Region TransMode Priority']"
"M WIP Sweep Priority","[]"
"W Planning Horizon Delta Intermediate","[]"
"W Planning Horizon Intermediate","[]"
"DIST Planned Delivery Time Standard Deviation IL","[]"
"Activity End Date","[]"
"M Target Inventory PF","[]"
"DIST WIP Sweep Priority Intermediate","['WIP Sweep Priority Intermediate']"
"W Netting Planning Horizon Association Delta","[]"
"W Netting Planning Horizon Delta Intermediate","[]"
"W Netting Planning Horizon Intermediate","[]"
"PROC Shared Resource Association Final","['PROC Shared Resource Association']"
"Quantity Available Dark2DC Target","[]"
"Affiliate Transfer Supply","[]"
"DIST Include For OP External","[]"
"DIST Include For OP","['Include For OP']"
"Final MFG Consumed Yield Static","[]"
"Affiliate Transfer Target","[]"
"DIST Include For MP Flag","['Include For MP Flag']"
"DIST Include For MP External","[]"
"DIST Include For MP","['Include For MP']"
"DIST Hanging Material Node count","[]"
"Final Routing Lead Time Override","[]"
"Past Due SO demand qty",""
"Assortment for Consensus Forecast Adjustment","[]"
"Available Quantity Excess","[]"
"DIST Goods Receipt Time Standard Deviation IL","[]"
"PROC Shared Resource Consumed Quantity Per Final","['Shared Resource Consumed Per']"
"DIST Global Release Window","['Global Release Window']"
"Assortment For Pass Through Fcst","[]"
"Assortment For Stats Fcst at Reg Item","[]"
"OSO Source Consideration Flag","[]"
"Resource Priority Intermediate By Supplier Location","[]"
"Resource Priority Intermediate By Supplier","[]"
"Assortment for Reco Ratio Respread","[]"
"BOD Inbound Item Resource Location Consumed Per","['Unloading Resource Consumed Per']"
"PO ASN Delivery Date Final","[]"
"Past Due SO Qty FR",""
"Resource Consumption Association Intermediate By Supplier Location","[]"
"DIST Soft Lot Size IL","['Default']"
"Lane Shared Resource Priority Intermediate","[]"
"SO Qty Maintenance FR","[]"
"Lane Shared Resource Consumed Per Interemediate","[]"
"Item To Location procurement Type",""
"Resource Consumed Quantity Per Intermediate By Supplier Location","[]"
"Lane As Resource Consumed Per","['BODLane Resource Consumed per']"
"Lane As Resource Association","['Enable BODLane Resource']"
"ProcLane From Location Association","[]"
"Resource Consumed Quantity Per Intermediate By Supplier","[]"
"Quantity Available DC Consolidation","[]"
"PROC Shared Resource Association Override","['Association Override', 'Association ']"
"Price Override Cables","['Price Override']"
"BOD Inbound Resource Category Intermediate","[]"
"BOD Inbound Resource Consumed Per Intermediate","[]"
"LoadingResource","[]"
"DIST Frozen Window by Item Location Final","[]"
"MFG Network Activity Node Icons","[]"
"BOD Outbound Item Resource Location Consumed Per Override","['Loading Resource Consumed Per Override']"
"BOD Outbound Shared Resource Category Intermediate","[]"
"BODLane WIP Sweep Priority","[]"
"PROC Supplier Shared Resource Priority Override","[]"
"PROC Shared Resource Consumed Quantity Per Override","['Consumed Quantity Per Override']"
"BOD Shared Resource Association","[]"
"DIST Frozen Window","[]"
"BOD Shared Resource Consumed Quantity Per Intermediate","[]"
"Routing Start Date Network Intermediate","[]"
"Routing Lead Time Standard Deviation Intermediate","[]"
"Routing Lead Time Intermediate","[]"
"BOD Shared Resource Priority","[]"
"BOD Shared Resource Priority Intermediate","[]"
"MFG Hanging Material Node count","[]"
"Routing End Date Network Intermediate","[]"
"MFG Global Release Window IL","[]"
"SO Qty Provisioning FR","[]"
"Global Demand Build Late Limit","[]"
"D WIP Delivery Date","[]"
"BODLane Member Creation","[]"
"DIST Flex Capacity Band2","[]"
"DIST Include For OP Flag","['Include For OP Flag']"
"DIST Flex Capacity Band1","[]"
"DC Stock","[]"
"M Activity Start Date","['Activity Start Date']"
"M Activity Priority","['Activity Priority']"
"M Activity Lead Time","['Activity Lead Time']"
"M Activity End Date","['Activity End Date']"
"BODLane Resource Consumption Association","[]"
"Darkstorage Target","[]"
"Vendor Collab Quantity Adjusted","['National Scheduled Receipts']"
"DIST Resource Base Capacity","[]"
"D WIP Met Int Late Quantity","[]"
"M Material Consumption Quantity Per","['Material Consumption Quantity Per']"
"DIST Min Lot Size IL","['Default']"
"BODLaneResource","[]"
"BOM Effectivity Outside Horizon Association","[]"
"DIST Lot Size Increment IL","['Default']"
"D Where Used Broken ProcLanes Exceptions Count","[]"
"Material Production Static Yield Intermediate","[]"
"DIST Loading Shared Resource Association","['Loading Resource Association']"
"D Where Used Broken Network ProcLane DataValidation","[]"
"D Where Used Broken Network From Nodes","[]"
"D Where Used Broken Network BOM DataValidation","[]"
"D Where Used Broken Network BODLane DataValidation","[]"
"D Where Used Broken BOMs Exceptions Count","[]"
"M Demand Quantity To SCS ET","[]"
"D Where Used Broken BODLane Exceptions Count","[]"
"BOM Quantity Consumed Per Outside Range Association","[]"
"M Material Production Quantity Per","['Material Production Quantity Per']"
"BOM Quantity Produced Per Outside Range Association","[]"
"D Upper Threshold Quantity","[]"
"Global Demand Build Ahead Limit","[]"
"VMI Accumulated Shipment","[]"
"Darkstorage Supply","[]"
"MFG Release Window TG","[]"
"PROC Lead Time Standard Deviation External Input","['External Input']"
"M Expected Receipts ET","[]"
"PROC Lead Time Standard Deviation Final By Week","[]"
"PROC Lead Time Standard Deviation Override","[]"
"PROC Lot Size Increment External Input","['External Input']"
"M Demand Quantity to SCS PF","[]"
"MFG Release Window OverRide","['Release Window Override (in Days)']"
"UnLoadingResource","[]"
"MFG Produced Yield Static Override Intermediate","[]"
"M Re-Order Point Quantity PF","[]"
"MFG Produced Yield Static Override","[]"
"Priority Rule Plugin Output","[]"
"D Simultaneous Capacity Consumption Association","['Simultaneous Capacity Consumption Association']"
"D Planning Horizon Delta Intermediate","[]"
"M Input Resource Group Priority","['Input Resource Group Priority']"
"GFR National","[]"
"Resource Consumption Association Intermediate By Supplier","[]"
"Final Routing Lead Time","[]"
"Monthly Projected shipment Value","[]"
"M PROC Transportation Cost Per Unit Intermediate","[]"
"D Soft LotSize","[]"
"Off Invoice Actual","[]"
"D Shipment Plan Output","['Shipment Plan Output']"
"Item Location Approved Supplier Association","[]"
"D PROC Transportation Cost Per Unit Intermediate","[]"
"PO Committed Ship Date","['Commit Ship Date']"
"D PO Alert Current Target Inventory","['Target Inventory@Current Date']"
"Flow 1 TPE Item Reco Ratio at Previous Year Validation","[]"
"D PO Alert Current Inventory","['Inventory@Current Date']"
"D PO Alert ASN Delivery Date","['ASN Delivery Date']"
"Flow 3 Region Item Reco Ratio at Previous Year Validation","[]"
"D Material Increased Flag Intermediate_2","[]"
"D Item Price","[]"
"PROC Item Location Association","[]"
"D Expected Receipts Quantity Baseline","['Expected Receipts Baseline']"
"PROC Transportation Cost Per Unit Intermediate","[]"
"Shipment value difference",""
"Supplier Item Priority count","[]"
"Final Item Location Approved Supplier Association","[]"
"Contract Price Cables","['Contract Price']"
"Flow 3 Region Item Reco Ratio","['Region to Item Reco Ratio/Last Cycle']"
"Flow 1 Region TPE Reco Ratio","['Region to TPE Reco Ratio/Last Cycle']"
"Item Prce - Intermediate","[]"
"Final BOM Association","[]"
"CREATED BY ASL","['CREATED BY']"
"CREATION DATE ASL","['CREATION DATE']"
"W PROC Transportation Cost Per Unit Intermediate","[]"
"D Material Increased Flag Intermediate_3","[]"
"W Soft LotSize","[]"
"Flow 2 Item Region Reco Ratio","['Item Region Reco Ratio/Last Cycle']"
"Assortment for Stats Forecast","[]"
"Net Available Exception Report Aggregated  All Months","[]"
"LAST UPDATED DATE","[]"
"Actual shipment Value","[]"
"IsModified Flag","[]"
"Final Routing Association","[]"
"LAST UPDATE BY","[]"
"Billing REV","[]"
"Forecast Refresh Flag","[]"
"M Demand Quantity to SCS","['Demand Quantity to SCS']"
"M Total Capacity","['Total Capacity']"
"Active for Procurement","[]"
"W Planner Assigned Capacity Constraint Flag","[]"
"STO Line Detail Delivery Date BODLane Location To Location","[]"
"W PROC Simultaneous Capacity Consumption Intermediate","[]"
"Item BODLane TransMode Lot Size Increment External Input","[]"
"M Total Capacity Utilization %","[]"
"Daily Base Item Supplier Location TransMode Capacity Intermediate","[]"
"M Total Supply At Material Node","[]"
"InTransit Delivery Date Final","[]"
"W Procurement Resource Base Capacity Not Defined Association","['Procurement Resource Base Capacity Not Defined Association']"
"W Procurement Planner Assigned Capacity Intermediate","[]"
"W Procurement Planner Assigned Capacity Constrained Flag","['Prioritized Capacity Constraints']"
"W Procurement Plan Strategy At Item Location","['Requirement Plan Strategy']"
"W Procurement Hanging Resource Node Association","['Procurement Hanging Resource Node Association']"
"Item BODLane TransMode Lead Time Standard Deviation External Input","['External Input']"
"W Safety Stock At No Carry Node Association","['Safety Stock At No Carry Node Not Defined Association']"
"Item BODLane TransMode Min Lot Size External Input","[]"
"STO Line Detail Delivered Quantity BODLane To Location","[]"
"W Supplier Item Activity Start Date","['Activity Start Date']"
"W Supplier Item Activity End Date","['Activity End Date']"
"W Supplier Activity Item Lead Time Standard Deviation","[]"
"W Supplier Activity Item Lead Time","['Lead Time']"
"W Supplier Item Share","['Supplier Share']"
"W Upstream Infinite Material Nodes","[]"
"DIST Region TransMode Priority Final","['Region TransMode Priority Final']"
"WIP COC Change Association","[]"
"W Where Used ProcLane Network Association","['Broken ProcLanes Association']"
"W Where Used Broken BODLane Association","['Broken BODs Association']"
"W Where Used BOMs Network Association","['Broken BOMs Association']"
"D STO Alert Expected Fulfillment Quantity Solver","[]"
"Past Due PO Secondary Market","[]"
"Daily Flex2 Item Supplier Capacity Intermediate","[]"
"PROC Supplier Shared Resource Consumed Quantity Per","['Consumed Quantity Per  ']"
"PROC Supplier Shared Resource Association","['Association']"
"PROCLane Effectivity Outside Horizon Association","[]"
"Distribution Hanging Material Node Association","[]"
"Forecast Without Order Association","[]"
"Final Resource Group To Resource Association","[]"
"Normal","[]"
"Purchase Order COC Change Association","[]"
"PROC o9 Soft Lot Size Intermediate","[]"
"Daily Flex2 Item Supplier Location TransMode Capacity Intermediate","[]"
"Daily Flex2 Item Supplier Location TransMode Capacity","[]"
"PROC o9 Planned Delivery Time Standard Deviation Intermediate","[]"
"PROC o9 Planned Delivery Time Standard Deviation ILS","[]"
"OWC Intermediate.a39cf333-3b0f-4f64-8648-40c8e2c1e29a",""
"Past Due PO PD Qty FR","[]"
"Past Due PO PD FR","[]"
"Past Due PO OEM/VAR","[]"
"Past Due PO NBD Qty","[]"
"Past Due PO NBD FR","[]"
"Past Due PO CTDI(OWV)","[]"
"Past Due PO CTDI(OWC)","[]"
"Past Due PO CTDI(ORV)","[]"
"Past Due PO CTDI(ETS)","[]"
"Past Due PO CTDI(BBG)","[]"
"Past Due Demands Association","[]"
"ETS Intermediate.558b9546-f986-48af-87f8-2be58967ba80",""
"Final PR Price Cables","['Final PR Price']"
"Final MFG Produced Yield Static","[]"
"D Procurement Hanging Resource Node Association","[]"
"Manufacturing Consumed Resource Per Outside Range Association","[]"
"Input Resource Group Priority","[]"
"Daily Flex2 Item Supplier Capacity","[]"
"Daily Flex2 Item Shared Supplier Capacity Intermediate","[]"
"Final Item BOM WIP Sweep Priority","[]"
"Flow 3 TPE Remaining Target.8307828b-e7f9-47a3-bbe1-e99298e9837e",""
"Flow 3 TPE Region Reco Ratio at Previous Year Validation","[]"
"DIST Soft Lot Size IL Override","['Override']"
"PrO Disable Upstream Material Consumption Intermediate","[]"
"Flow 3 Final Item Forecast LC1","['Final Forecast at Item Region level LC']"
"DIST Soft Lot Size IL Final","['Soft Lot Size IL Final']"
"ORV Intermediate.b61c5b3a-2d6a-4be4-9a30-3e5ba86deddd",""
"ORC Intermediate","[]"
"Lane Shared Resource Priority","[]"
"Lane Shared Resource Consumed Per","['UnLoading Resource Consumed Per']"
"Lane Shared Resource Association","['Enable Shared Transportation Resource']"
"DIST Lot Size Increment IL Override","['Override']"
"Planner Actuals Override","[]"
"Procurement Hanging Material Node Association","[]"
"Flow 2 Item Region Reco Ratio at Previous Year Validation","[]"
"Flow 2 Item Region Final Forecast LC1","['Final Forecast at Item Region level LC1']"
"Manufacturing Resource Priority Outside Range Association","[]"
"Manufacturing Resource Priority Not Defined Association","[]"
"Manufacturing Resource Consumed Per Not Defined Association","[]"
"Manufacturing Produced Yield Outside Range Association","[]"
"Manufacturing Produced Time Varying Yield Outside Range Association","[]"
"Manufacturing LotSize Outside Range Association","[]"
"Manufacturing Lead Time Outside Range Association","[]"
"Manufacturing Lead Time Not Defined Association","[]"
"Manufacturing Hanging Material Node Association","[]"
"Manufacturing Consumed Yield Outside Range Association","[]"
"Manufacturing Consumed Time Varying Yield Outside Range Association","[]"
"Procurement Priority Outside Range Association","[]"
"Flow 2 and 3 Cat9 TPE Reco Ratio at Previous Year Validation","[]"
"Flow 2 TPE Item Reco Ratio at Previous Year Validation","[]"
"Location Master","[]"
"Final BOM Component Start Date","[]"
"Final BOM Component End Date","[]"
"DIST Shipping Holiday Intermediate","[]"
"Qty Intermediate.37a27184-fbea-420b-bdda-e84f4a80868b",""
"DIST Shipping Holiday","[]"
"DIST Include for MP Override","[]"
"OWV Intermediate.bbe7a76a-1988-4ede-af0e-0f5b4792dee1",""
"Planning Cycle Status","[]"
"Email alert","[]"
"Planning Cycle Completion Date","[]"
"Published Forecast - Avg - Item Level","[]"
"Demands With Decimal Association","[]"
"DIST Release Window Item Location Override","['Release Window Item Location Override']"
"DIST Lot Size Increment IL Final","['Lot Size Increment IL Final']"
"Reel length Percentage",""
"Item Region to Item DC Validation New","[]"
"Item Region to Item DC Split Previous Year","[]"
"DIST Include For OP IL","['Include For OP IL']"
"Infinite Material Node External Input","[]"
"DIST Loading Capacity Final","[]"
"RA/RFQ Flag","[]"
"M Demand Due Date","[]"
"Daily Base Item Supplier Capacity","[]"
"Flow 1 Region TPE Remaining Target.a77d08f5-d791-4d11-af9a-44fe9f86b54e",""
"Flow 1 Region TPE Reco Ratio at Previous Year Validation","[]"
"Daily Base Item Shared Supplier Capacity Intermediate","[]"
"Procurement Resource Consumed Quantity Per Outside Range Association","[]"
"Procurement Resource Consumed Per Not Defined Association","[]"
"Daily Flex1 Item Shared Supplier Capacity Intermediate","[]"
"Procurement LotSize Outside Range Association","[]"
"Item Master","[]"
"M LotSize Increment","['LotSize Increment']"
"M Load Plan Res Consumed Qty","['Resource Consumed Qty']"
"M Load Plan Planned Supply","['Planned Supply']"
"M Load Plan Firm Supply","['Firm Supply']"
"Quantity Available.2ddf09c6-5116-4637-be3a-ea010a6a6edc",""
"Flow 1 Int Region Final Forecast LC1","['Final Forecast at Cat9 Region level LC']"
"Daily Base Item Shared Supplier Capacity","[]"
"Open PO NBD Qty FR","[]"
"Planning Status Modified By","['Last Modified By']"
"Manufacturing Priority Outside Range Association","[]"
"Procurement Lead Time Outside Range Association","[]"
"PrO Detail Start Date Activity3","[]"
"DIST Release Window at Item Location BODLane","['Release Window at Item Location BODLane']"
"STO Line Detail Last Update Date BODLane Location To Location","[]"
"Open PO PD Value FR","[]"
"Open PO PD Qty FR","[]"
"Monthly Total PD Value FR","[]"
"Monthly Total PD Qty FR","[]"
"Open PO NBD Value FR","[]"
"DIST Include for OP Override","[]"
"Daily Flex2 Item Shared Supplier Capacity","[]"
"Daily Flex1 Item Supplier Location TransMode Capacity Intermediate","[]"
"Item BODLane Transmode from location",""
"Item BODLane TransMode Start Date External Input","[]"
"Item BODLane TransMode Soft Lot Size External Input","[]"
"Daily Flex1 Item Supplier Location TransMode Capacity","[]"
"Demand Master","[]"
"Daily Flex1 Item Supplier Capacity Intermediate","[]"
"Daily Flex1 Item Supplier Capacity","[]"
"Orders Without Forecast Association","[]"
"Daily Flex1 Item Shared Supplier Capacity","[]"
"DIST Region TransMode Priority Override","['Region TransMode Priority Override']"
"Flex2 Item Supplier Location TransMode Capacity By Day","[]"
"Flex2 Item Supplier Location TransMode Capacity","['Flex2 Capacity']"
"STO Line Detail Delivered Quantity BODLane Location To Location","[]"
"STO Line Detail Creation Date BODLane To Location","[]"
"STO Line Detail Creation Date BODLane Location To Location","[]"
"STO Line Detail Consume Handling Capacity BODLane To Location","[]"
"STO Line Detail Consume Handling Capacity BODLane Location To Location","[]"
"STO Line Detail Actual Ship Date BODLane To Location","[]"
"STO Line Detail Actual Ship Date BODLane Location To Location","[]"
"STO Line Detail Actual Delivery Date BODLane To Location","[]"
"STO Line Detail Actual Delivery Date BODLane Location To Location","[]"
"STO Line Detail Open Quantity BODLane Location","['Line Detail Open Quantity']"
"STO Line Detail Last Update Date BODLane To Location","[]"
"DIST UnLoading Capacity Final","[]"
"STO Line Detail Issued Quantity BODLane To Location","[]"
"STO Line Detail Issued Quantity BODLane Location To Location","[]"
"Flex1 Item Supplier Capacity By Day Intermediate","[]"
"STO Line Detail Delivery Date BODLane To Location","[]"
"STO Line Detail Status BODLane Location To Location","[]"
"STO Line Detail Ship Date BODLane To Location","[]"
"STO Line Detail Ship Date BODLane Location To Location","[]"
"STO Line Detail Quantity BODLane To Location","[]"
"STO Line Detail Quantity BODLane Location To Location","[]"
"STO Line Detail Status BODLane To Location","[]"
"Safety Stock OrdelineID Association","[]"
"D Manufacturing Hanging Resource Node Association","[]"
"D Manufacturing Base Capacity Not Defined Association","[]"
"Holidays Considered","[]"
"Flex1 Item Supplier Capacity By Week Intermediate","[]"
"D Ending On Hand w Stock Intransits","['EOH w Stock Intransits']"
"D Planner Assigned Capacity Constraint Flag","['Planner Assigned Capacity Constraint Flag']"
"D Material Increased Flag","['Material Increased Flag']"
"D Material Demand Late Short Quantity Revenue Impact","['Material Demand Late Short Quantity Revenue Impact']"
"D PO Alert Projected Inventory","['Inventory@Commit Date']"
"Flex1 Item Supplier Capacity Intermediate","[]"
"Flex1 Item Supplier Location TransMode Capacity","['Flex1 Capacity']"
"D Frozen Window Intermediate","[]"
"o9 Item BOM Routing Soft LotSize Number","[]"
"D Flex2 Item Supplier Capacity","[]"
"D Flex2 Item Shared Supplier Capacity Intermediate","[]"
"D Item Activity Supplier Priority Time Varying","[]"
"D Item Activity Share","[]"
"PROC Item Location Approved Supplier Association","[]"
"Flex1 Item Shared Supplier Capacity By Week Intermediate","[]"
"DIST Frozen Window by Location","['Frozen Window by Location']"
"Simultaneous Capacity Consumption Association","[]"
"D Flex1 Item Supplier Capacity Intermediate","[]"
"D Flex1 Item Supplier Capacity","[]"
"D Flex1 Item Shared Supplier Capacity Intermediate","[]"
"D PROC Simultaneous Capacity Consumption Intermediate","[]"
"DIST Region TransMode Association Final","[]"
"PROC ERP Planned Delivery Time Intermediate","[]"
"PROC ERP Planned Delivery Time Standard Deviation ILS","[]"
"Netting Split Combined Applicable Weeks Time Varying","[]"
"SR COC Change Association","[]"
"Flex1 Item Shared Supplier Capacity By Day Intermediate","[]"
"PROC ERP Planned Delivery Time Standard Deviation Intermediate","[]"
"Intransit COC Change Association","[]"
"Shipment Schedule COC Change Association","[]"
"Final Routing End Date","[]"
"D Ending On Hand w Stock Intransits Orders","['EOH w Stock Intransits Planned Orders']"
"D Activity Share","['Activity Share']"
"D Ending On Hand w Stock","['EOH w Stock']"
"D ER Material Production Quantity Plan Output","[]"
"D PO Alert Projected Target Inventory","['Target Inventory@Commit Date']"
"D Procurement Plan Strategy At Item Location","['Requirement Plan Strategy']"
"D Procurement Planner Assigned Capacity Constrained Flag","['Prioritized Capacity Constraints']"
"PROC Frozen Window By Item Group Supplier Location","['Frozen Window By Item(In Days)']"
"Shipments","[]"
"D Order Lane Lead Time","[]"
"PROC Supplier Shared Resource Priority","[]"
"D Distribution Resource Base Capacity Not Defined Association","[]"
"D Distribution Hanging Resource Node Association","[]"
"Distribution Priority Outside Range Association","[]"
"D Demand Due Date","[]"
"D Demand Creation Date","[]"
"D Procurement Planner Assigned Capacity Intermediate","[]"
"D Average Lateness","['Average Lateness']"
"D DIST Release Window at Item Location BODLane","[]"
"D Procurement Resource Base Capacity Not Defined Association","[]"
"D Production Plan Recommendation In Release Window","['Suggested Recommendation']"
"D Critical Item Flag Override Backup","[]"
"D Critical Item Flag Override","['OP Override']"
"D Critical Item Flag Backup","[]"
"D Critical Item Final","[]"
"D Base Item Supplier Capacity Intermediate","[]"
"D Base Item Supplier Capacity","[]"
"D Base Item Shared Supplier Capacity Intermediate","[]"
"D BODLane Associations Intermediate","[]"
"D Purchase Requirement","['Purchase Requirements']"
"DIST WIP Sweep Priority","['WIP Sweep Priority']"
"Stats Forecast","[]"
"D Purchase Requirement Cumulative","['Cumulative Purchase Requirements']"
"Distribution Resource Consumed Quantity Per Outside Range Association","[]"
"Supplier Capacity Constraint Consumed Quantity Per","['Consumed Quantity Per']"
"D SS at No Carry Node Exceptions Count","[]"
"D STO Alert ETA Solver","[]"
"Flex2 Item Supplier Capacity Intermediate","[]"
"PROC Frozen Window By Item Location Supplier Override","['Override']"
"PROC Frozen Window By Supplier Location","['Frozen Window By Supplier(In Days)']"
"PROC Goods Receipt Time Intermediate","[]"
"Supplier Item Lead Time count","[]"
"Supplier Item Lead Time Override COC Change Association","[]"
"Supplier Item Lead Time Exception Count","[]"
"PR Soft Supply","[]"
"Flex1 Item Supplier Location TransMode Capacity By Day","[]"
"Flex1 Item Supplier Location TransMode Capacity By Day Intermediate","[]"
"D STO Alert Projected Inventory","['Inventory@Commit Date']"
"Flex1 Item Supplier Location TransMode Capacity By Week Intermediate","[]"
"Distribution LotSize Outside Range Association","[]"
"Supplier Resource Members","[]"
"Supplier Resource Group to Resource Association","[]"
"Supplier Resource Group Priority","[]"
"Supplier Master","[]"
"D STO Alert Projected Target Inventory","['Target Inventory@Commit Date']"
"D Activity Lead Time Standard Deviation","[]"
"Flex1 Item Supplier Location TransMode Capacity Intermediate","[]"
"D Safety Stock At No Carry Node Association","[]"
"Supplier Lead Time COC Change Association","[]"
"Flex1 Item Shared Supplier Capacity Intermediate","[]"
"Supplier Item Priority Exception Count","[]"
"Supplier WIP Sweep Priority","[]"
"Flex2 Item Shared Supplier Capacity By Day Intermediate","[]"
"PROC Resource TransMode Association","['Resource Association   ']"
"Distribution Lead Time Outside Range Association","[]"
"Backorders","[]"
"Flex2 Item Shared Supplier Capacity By Week Intermediate","[]"
"MFG Network Inputs For Cycle Plan By Day Number","[]"
"To Location Supplier Member Key","[]"
"To Location Supplier Member","[]"
"Total Existing PO Qty","[]"
"MFG Network Inputs For Cycle Plan Number","[]"
"D Supplier Activity Item Lead Time","[]"
"D Supplier Activity Item Lead Time Standard Deviation","[]"
"Capacity Consumption Holiday Intermediate By Day","[]"
"Capacity Consumption Holiday Intermediate","[]"
"D Supplier Item Activity End Date","[]"
"STO COC Change Association","[]"
"PROC Goods Receipt Time Standard Deviation Intermediate","[]"
"Broken Demand Node Association","[]"
"D Supplier Item Activity Start Date","[]"
"D WIP Material Production Quantity Agg","[]"
"MFG Resource Consumed Per Intermediate","[]"
"Base Item Supplier Location TransMode Capacity By Week Intermediate","[]"
"Base Item Supplier Location TransMode Capacity By Day Intermediate","[]"
"Base Item Supplier Location TransMode Capacity By Day","[]"
"Base Item Supplier Location TransMode Capacity","['Base Capacity', 'Weekly Base Capacity']"
"Base Item Supplier Capacity Intermediate","[]"
"D PO Recommendation Cumulative Override","['Cumulative Overrides']"
"MFG Resource Priority Intermediate","[]"
"PROC Resource TransMode Consumed Quantity Per","['Consumed Quantity Per  ']"
"Base Item Supplier Capacity By Day Intermediate","[]"
"Base Item Shared Supplier Capacity Intermediate","[]"
"Base Item Shared Supplier Capacity By Week Intermediate","[]"
"Base Item Shared Supplier Capacity By Day Intermediate","[]"
"Flex2 Item Shared Supplier Capacity Intermediate","[]"
"Base Item Supplier Location TransMode Capacity Intermediate","[]"
"Distribution Resource Consumed Per Not Defined Association","[]"
"BOM Start Date With Routing","[]"
"Flex2 Item Supplier Capacity By Day Intermediate","[]"
"Base Item Supplier Capacity By Week Intermediate","[]"
"VMI Trigger","[]"
"Flex2 Item Supplier Capacity By Week Intermediate","[]"
"PROC o9 Min Lot Size Intermediate","[]"
"PROC o9 Planned Delivery Time Intermediate","[]"
"BOM Routing Priority Not Defined Association","[]"
"D Upstream Infinite Material Nodes","[]"
"BOM Quantity Produced Per Not Defined Association","[]"
"D WIP Production Quantity Intermediate","[]"
"BOM Quantity Consume Per Not Defined Association","[]"
"BOM End Date With Routing","[]"
"D Where Used ProcLane Network Association","[]"
"BOM Consumed Item COC Change Association","[]"
"DIST Frozen Window By Item Location","['Frozen Window By Item Location']"
"D WIP Material Production Quantity Plan Output","[]"
"BODLane TransMode Lead Time COC Change Association","[]"
"BODLane To Location Members","[]"
"D WIP PROC Production Intermediate","[]"
"BODLane Item Priority Not Defined Association","[]"
"BODLane Item Lead Time COC Change Association","[]"
"D Where Used BOMs Network Association","[]"
"BODLane From Location Members","[]"
"BODLane Flex Capacity Band2 Intermediate","[]"
"W Activity Share","['Activity Share']"
"W Activity Lead Time Standard Deviation","[]"
"BODLane Start Date IL Final","[]"
"D Where Used Broken BODLane Association","[]"
"DIST Flex Loading Capacity Band1 Final","[]"
"DIST Flex Loading Capacity Band2 Final","[]"
"BOD Inbound Shared Resource Category Intermediate","[]"
"Routing End Date With BOM","[]"
