"Measure","Aliases"
"Delivery Schedule SR","['Delivery Schedule']"
"Consensus Forecast Adjustment","['Consensus Forecast Override']"
"GFR Master Qty","['GFR Qty']"
"Creation Date Ack","['Creation Date']"
"Approved Buyback Quantity by Transfer Type.8c68a239-1973-4150-85a4-93ff1279c7ce",""
"SHIPPED QTY","[]"
"REQ BY UID","[]"
"SHIP ORG","['SHIP FROM ORG']"
"ORDER SUBMITTED BY","[]"
"ORDERED QTY","[]"
"CANCELLED QTY","[]"
"ORDER RECEIVED BY","[]"
"RESERVED QTY","[]"
"SO ORDER UOM","[]"
"RELEASE DATE","[]"
"SHIP DATE","[]"
"LINE CREATION DATE","[]"
"NEED BY DATE","[]"
"LINE UPDATE DATE","[]"
"ORIGINAL SHIP ORG","['ORIGINAL SHIP FROM ORG']"
"RESERVED FLAG","[]"
"HEADER CREATION DATE","[]"
"FIBER KM SO","['FIBER KM']"
"SPLITTER QTY SO","['SPLITTER PORTS']"
"W Demand Quantity","['Demand Quantity']"
"D Total Short Quantity","['Total Short Quantity']"
"Factor at Cat9 LC","[]"
"Calculated Factor at Cat9","[]"
"Buyback Inv Priority","['Buyback Inv Priority']"
"Buyback Lead Time","[]"
"Default OEM RA Flag","[]"
"D Total Late Quantity","['Total Late Quantity']"
"OEM Purchase Forecast","[]"
"Approved OEM by Transfer Type.024f9502-4221-4a3b-8a48-f2cca8b88a92",""
"CTDI Bucket Supplier Asociation","[]"
"6 Month AR Forecast Accuracy Lag4","[]"
"6 Month Actuals Accuracy Lag4","[]"
"6 Month Actuals Accuracy Lag2","[]"
"6 Month Stats Forecast Accuracy Lag2","[]"
"6 Month AR Forecast Accuracy Lag2","[]"
"6 Month Stats Forecast Accuracy Lag4","[]"
"AFT Transfer Recommended Qty Deleted","[]"
"AFTR Deleted By","[]"
"AFTR Deletion Time Stamp","[]"
"NBD Override Deleted","[]"
"Comment Deleted","[]"
"Ship Method Deleted","[]"
"Onhand Available","[]"
"Purchase Forecast PF","['Purchase Forecast']"
"Purchase Amount Deleted","['Purchase Amount']"
"Vendor Deleted","['Vendor']"
"PR NBD Deleted","['PR NBD']"
"Price Override Deleted","['Price Override']"
"Final PR Price Deleted","['Final PR Price']"
"PR Comments Deleted","['PR Comments']"
"Deleted By","[]"
"Deleted Time Stamp","[]"
"Vendor Site Deleted","['Vendor Site']"
"Adjusted PR Qty Deleted","['Adjusted PR Qty']"
"Contract Price Deleted","['Contract Price']"
"Vendor Alias Deleted","['Vendor Alias']"
"Past Due PO CTDI Excluded","[]"
"Final Consensus Forecast $ Value","[]"
"Monthly Spread Final Split Ratio","[]"
"Actual Demand PF","[]"
"Requester","[]"
"Vendor Name","[]"
"Valuation Price","[]"
"Need By Date Ack","['Need By Date']"
"Updated Quantity","[]"
"Process Flag Meaning","[]"
"Export Time","[]"
"Cancelled Qty Ack","[]"
"Purchase Organization Ack","['Destination Organization']"
"Oracle PO Line Num","[]"
"Quantity Requested","[]"
"Oracle Req Number","[]"
"Updated Need By Date","[]"
"Order Type Ack","['Order Type']"
"Awarded Quantity","[]"
"Reason Text","[]"
"Process Flag","[]"
"Oracle Req Line Num","[]"
"Oracle PO Number","[]"
"Vendor Collab Past Flag","[]"
"Delivery Schedule - Item Level","[]"
"PRIMARY OPEN QTY","[]"
"PO LINE LAST UPDATE DATE","[]"
"FIBER KM","[]"
"PURCHASE ORGANIZATION","[]"
"REQPUID","[]"
"CREATION DATE","['HEADER CREATION DATE']"
"PRIMARY QUANTITY CANCELLED","['PRIMARY QTY CANCELLED']"
"PRIMARY UOM","[]"
"PRIMARY QTY DELIVERED","[]"
"BUYERUID","[]"
"PRIMARY UOM QUANTITY","['PRIMARY QTY']"
"RECEIVED DATE","[]"
"ORDER UOM QUANTITY","['ORDER UOM QTY']"
"LINE CREATION DATE PO","['LINE CREATION DATE']"
"QTY DELIVERED","['ORDER UOM QTY DELIVERED']"
"ORDER UOM","[]"
"ORDER QUANTITY CANCELLED","['ORDER UOM QTY CANCELLED']"
"SPLITTER QTY","['SPLITTER PORTS']"
"OPEN QTY","['ORDER UOM OPEN QTY']"
"W Expected Receipts","['Expected Receipts']"
"Preparer Buyback","[]"
"Contract Key","[]"
"AL KPI OTIF CD","['OTIF CD']"
"Association for Working Day","[]"
"M Demand Quantity","['Demand Quantity']"
"Beginning Onhand Expected Receipt","['Onhand Available Expected Receipt']"
"Flow 2 Item Region Final Forecast","['Final Forecast at Item Region level']"
"Final National to Region Distribution Ratio","[]"
"Deleted Vendor Collab Quantity","[]"
"D Ending On Hand","['Ending OnHand']"
"W Total Met On Time Quantity","['Total Met On Time Quantity']"
"Scope 2 Final MB Emissions","['Scope 2 Emission (KgCO2e)']"
"Actual","[]"
"W Demand Priority","['Demand Priority']"
"GFR Quantity considering Flag PF","['GFR Quantity used for calculation']"
"Flow 1 Final Item Forecast","['Final Forecast at Item Region level']"
"ISO Number","[]"
"D Expected Receipts","['Expected Receipts']"
"Top Down Flow","[]"
"YTD Actuals At Item","[]"
"AL PrO OTIF % TG","['Production OTIF %']"
"W Total Short Quantity","['Total Short Quantity']"
"D Demand Priority to SCS","['Demand Priority to SCS']"
"D Target Inventory","['Target Inventory']"
"Expected Trigger Reco","[]"
"Oracle Buyback Lead Time","[]"
"Published Demand Forecast $ Value","[]"
"D Demand Priority","['Demand Priority']"
"AL PO Goods Receipt Quantity TG","['Goods Receipt Qty']"
"Published Demand Forecast LC $ Value","[]"
"Item Region to Item DC Reco Ratio Override","[]"
"D Resource Base Capacity","['Resource Base Capacity', 'Resource Base Capacity']"
"Consensus Fcst","[]"
"AL KPI OrderLine Revenue","['Revenue']"
"D Capacity Consumption Quantity Plan Output","['Planned Consumption']"
"Delivery Schedule SR Intr2","[]"
"D Demand Quantity Final","[]"
"M Total Met On Time Quantity","['Total Met On Time Quantity']"
"AL KPI Inventory Turns","['Inventory Turns']"
"W Total Late Quantity","['Total Late Quantity']"
"Schedule Adherence","['Schedule Adherence']"
"AL PO Goods Receipt Purchase Value TG","['Total Value of Goods Received']"
"Delta",""
"Closed SO Current Month","[]"
"PCTOEM","['PCT_OEM']"
"Final Item Forecast","[]"
"Publish Forecast Quantity Lag4","[]"
"Publish Forecast Quantity Lag2","[]"
"Flow 3 Final Item Forecast","['Final Forecast at Item Region level']"
"Publish Forecast Flag","[]"
"Pseudo Actuals for NPI","[]"
"Consolidated Demand ET","[]"
"AL KPI OTIF RD","['OTIF RD']"
"W Resource Base Capacity","['Resource Base Capacity', 'Resource Base Capacity']"
"AL PO Lane OTIF % TG","['OTIF % TG']"
"D Capacity RCA Quantity","['Capacity RCA Quantity']"
"D Infinite Material Node","['Infinite Material Node', 'Infinite Material Node']"
"Flow 2 Item Region Forecast","['Forecast at Item Region level']"
"AR Forecast in Original UoM","['AR Forecast in Primary UoM']"
"Beginning OnHand Expected Trigger","[]"
"Publish Forecast Abs Error Lag4","[]"
"Publish Forecast MPE Lag2","[]"
"Publish Forecast Accuracy Lag4","[]"
"Publish Forecast Abs Error Lag2","[]"
"Publish Forecast MPE Lag4","[]"
"Publish Forecast MAPE Lag2","[]"
"Publish Forecast MAPE Lag4","[]"
"Actuals Accuracy Lag2","[]"
"Actuals Abs Error Lag2","[]"
"Publish Forecast Accuracy Lag2","[]"
"Actuals Abs Error Lag4","[]"
"MRP Recommended PO Quantity","[]"
"Final Flow 2 Intermediate Item Forecast","['Final Forecast at TPE Item level']"
"Actuals Accuracy Lag4","[]"
"Flow 3 TPE Region Final Ratio","['TPE to Region Final Split Ratio']"
"W WIP Material Production Quantity","['Firm Plan']"
"Data Validation Result","[]"
"D Base Capacity Utilization %","['Base Capacity Utilization %', 'Base Capacity Utilization %']"
"D Demand Fill Rate","['Demand Fill Rate', 'Demand Fill Rate']"
"Product Handled","[]"
"Onhand Available PF","[]"
"Remaining Target Cat9","[]"
"D Material Production Association","['Material Production Association']"
"Deleted ATT UID","['Deleted ATT User ID']"
"Deleted Time","[]"
"Flow 2 TPE Item Final Split Ratio","['TPE to Item Final Split Ratio']"
"OEM/RA Flag","['External Purchase Flag']"
"Flow 2 Final Forecast Original UoM","['Primary UoM Forecast at Item Region level']"
"D Demand Quantity to SCS","['Demand Quantity to SCS']"
"AL PrO Goods Produced Quantity TG","['Goods Produced Qty']"
"In Transit (VMI) Flag","[]"
"Flow 2 Intermediate Item Forecast Override","['Forecast at TPE Item Override']"
"W Material Production Association","['Material Production Association']"
"W Infinite Material Node","['Infinite Material Node']"
"Actuals Bias Lag2","[]"
"GFR Flag","[]"
